"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"83";"Applications de la recherche opérationnelle";NA;"Programmation lineaire et planification agricole. Les risques en agriculture: modeles de decision pour les situations a risque. Calcul du risque du manque d'eau dans l'agriculture irriguee.";"Agriculture";"fr";"C. Schweigman,Willem K. Klein Haneveld"
"85";"Le traitement des récoltes";NA;"Ethnoarchäologie - Agrargeschichte - Erntegerät.";"Agriculture";"fr";"Patricia C. Anderson"
"87";"Retour des pénuries alimentaires ?";"Editions France Agricole";"La 4e de couv. indique : ""Au cours des prochaines décennies les besoins alimentaires de l'humanité vont continuer d'augmenter à un rythme rapide. La production agricole mondiale sera-t-elle en mesure de satisfaire l'ensemble de ces besoins ? Ce sera possible si les rendements des cultures continuent de croître comme ils ont pu le faire depuis un demi-siècle. Or l'augmentation des rendements repose sur un fragile équilibre entre les sols, le climat et les plantes, équilibre que les agriculteurs ont pour mission de gérer au mieux. Mais de multiples facteurs de changements risquent d'intervenir et de remettre en cause la progression de la production. Il peut en résulter un déséquilibre entre l'offre et la demande, source de hausse des prix agricoles. Pour éviter d'éventuelles catastrophes politiques et sociales, les gouvernements seront alors contraints de repenser complètement leurs politiques agricoles.""";"Agriculture";"fr";"André Neveu,Guy Paillotin"
"102";"L'agriculture et la paysannerie vietnamiennes";"Editions L'Harmattan";"L'agriculture occupe une place fondamentale dans l'économie vietnamienne aujourd'hui. La paysannerie est de ce fait une composante essentielle de la société vietnamienne. Une première partie analyse les grandes évolutions et la transition vers l'économie de marché, une deuxième aborde le monde paysan, les conditions de vie et l'évolution du travail lui-même dans des régions différentes (Delta du Mékong et le Centre).";"Agriculture";"fr";"Association d'amitié franco-vietnamienne"
"103";"Sociologie des mondes agricoles";"Armand Colin";"Pendant soixante ans, les sociologues ont observé le déclin des paysans dans les pays en cours de modernisation, et annoncé parfois leur disparition. De leur côté, les démographes constatent aujourd'hui que les producteurs agricoles n'ont jamais été aussi nombreux à la surface d'une planète à dominante urbaine. Cette contradiction constitue une question majeure pour les sciences sociales des mondes ruraux. Dans cette perspective, les auteurs proposent une relecture des ""classiques"". Comment les pères fondateurs de la sociologie ont-ils pensé la question paysanne et agricole dans les sociétés occidentales ? Comment s'est structuré le débat entre ceux qui annoncent la disparition inéluctable des paysans et ceux qui pronostiquent leur maintien dans un état transformé ou prolétarisé ? Les auteurs reviennent ainsi sur les grands bouleversements qui ont affecté les campagnes françaises et le métier d'agriculteur. Ils analysent la place singulière et paradoxale occupée clans la société française par les agriculteurs : minoritaires mais segmentés, dispersés mais pourtant bien repérables comme force sociale et politique. Enfin, ils proposent d'analyser la recomposition des paysanneries dans la globalisation autour de trois pôles qui structurent l'agriculture à l'échelle mondiale et qui révèlent la diversité des mondes agricoles aujourd'hui : la famille, la firme et la subsistance.";"Agriculture";"fr";"Bertrand Hervieu,François Purseigle"
"181";"Vers un big bang agricole ?";NA;"L'agriculture est certainement un des secteurs d'activités qui sera rapidement et profondément bouleversé par la révolution numérique. L'ambition de cet essai sera de proposer une analyse prospective de ces transformations pour les agriculteurs et leur environnement professionnel. Une première partie analysera les composantes actuelles de la transition numérique (plateforme, crowdfunding, gratuité, réseaux sociaux, capteurs, blockchain...) et leur transposition prévisible en agriculture. Puis nous chercherons à comprendre quels sont, derrière ces innovations, les moteurs réels de la révolution (les données, les algorithmes, l'internet des objets, le rôle de la foule, la confiance, la désintermédiation , le coût marginal zéro, l'économie du partage et l'usage avant la propriété. .) Enfin nous analyserons les opportunités et les menaces de ces innovations sur l'agriculture et son environnement. Nous nous projetterons pour montrer que cette révolution modifiera le métier des agriculteurs qui en seront, s'ils le souhaitent, fortement bénéficiaires. Nous montrerons le big bang que cela représentera pour les organisations agricoles françaises qui devront engager rapidement leur révolution culturelle au risque de disparaître. En synthèse l'ambition de cet essai est de proposer une analyse prospective des usages, des ruptures et donc une réflexion sur les enjeux et les forces en mouvement davantage qu'une description et un recensement des techniques.";"Agriculture";"fr";"Jean-Marie Séronie"
"282";"Pour une archéologie agraire";"Armand Colin";"Landschaftsgeschichte - Ernährungsgeschichte - Vegetationsgeschichte.";"Agriculture";"fr";"Jean Guilaine"
"290";"Penser la question paysanne en Afrique intertropicale";NA;"""L'ambition de cet essai est, pour l'Afrique intertropicale, d'articuler la question paysanne à celle de la modernité, contre l'idée reçue que le paysan africain n'est pas assez entré dans l'histoire. Il considère la façon dont le «paysan africain» s'inscrit, en temps et en lieux, dans l'histoire de la modernité, d'un côté comme catégorie du discours dominant et d'un autre dans son historicité particulière, c'est-à-dire dans la façon dont il «travaille» l'espace et le temps sur la durée. L'ouvrage met en lumière l'incertitude des recompositions sociales et spatiales contemporaines (globalisation, rurbanisation, «désagrarianisation», pression démographique, errances des politiques agricoles publiques et internationales...), qui impose de reconsidérer les catégories avec lesquelles on pense le milieu rural africain, à commencer par celles qui distinguent traditionnellement le rural et l'urbain. Il mesure aussi les implications de la révision radicale des interactions historiques entre les processus politiques de formation nationale et la modernisation inaboutie d'une paysannerie qui constitue largement la moitié de la population active. Son objectif est d'ouvrir un débat où rien n'est «écrit d'avance», et paradoxalement de sortir d'une rhétorique du progrès qui autorise toute économie d'échelles comme autant d'économies de pensée, qu'elles soient de temps ou d'espace, et qui ramène les histoires singulières et problématiques et les territoires diversifiés à un moment unique et à l'espace lisse d'un développement dont on voudrait faire l'unique moteur d'une histoire mondialisée."" [Source : 4e de couv.]";"Agriculture";"fr";"Bernard Charlery de La Masselière"
"298";"Yearbook of Food and Agricultural Statistics";NA;"Includes tables.";"Agriculture";"fr";""
"302";"L'agriculture, la forêt et les industries agro-alimentaires";"Ministère de l'agriculture";""" L'agriculture, la forêt et les industries agroalimentaires 2006 "" présente les multiples facettes de l'agriculture française. Le livre est divisé en neuf grands domaines : le milieu et l'environnement, les structures agricoles, les moyens de production agricoles, la population agricole, les résultats économiques de l'agriculture, les industries agroalimentaires, l'alimentation, le commerce extérieur agroalimentaire, les produits. Sa lecture est facilitée par un glossaire et peut être approfondie grâce à une bibliographie. Véritable encyclopédie de poche, L'agriculture, la forêt et les industries agroalimentaires 2006 constitue une source d'informations synthétique, pour tous ceux qui s'intéressent à l'agriculture, à la forêt et à leurs débouchés.";"Agriculture";"fr";"France. Service central des enquêtes et études statistiques"
"306";"Sauvez les OGM";"Hachette Littératures";"Est-il permis de penser autrement sur les OGM ? Explorer les raisons pour lesquelles le monde entier à l'exception de l'Europe investit dans les OGM, expose celui qui s'y risque au soupçon de scientisme aveugle. Confirmer, preuve à l'appui, que les OGM permettent de réduire les pesticides, d'économiser du carburant, d'améliorer la qualité et la quantité des plantes produites, bref d'atteindre un objectif somme toute très écolo, fera inévitablement peser le soupçon de corruption sur celui qui l'écrira. Il est temps d'échapper au discours idéologique, sans pour autant mépriser les questions éthiques posées par les biotechnologies, dont la société, quoi qu'en disent les anti-OGM, s'est très démocratiquement emparée. La production agricole plafonne depuis plusieurs années ; la crise alimentaire provoque déjà des émeutes ; le prix de l'énergie flambe, sans espoir réaliste de retour en arrière. Sans nouvelle révolution, l'agriculture ne pourra faire face aux besoins, au risque de graves tensions internationales. Passer à côté de ce que laissent espérer les OGM serait suicidaire, à défaut d'être criminel. Et laisser se développer des entreprises quasi monopolistiques comme Monsanto sans organiser une concurrence serait tout aussi fou.";"Agriculture";"fr";"Jean-Claude Jaillette"
